transaction_id,customer_id,product_id,quantity,price,timestamp,status
0,CUST_0,PROD_0,1,10.5,2025-07-23T00:00:00,failed
1,CUST_1,PROD_1,2,21.0,2025-07-23T01:00:00,completed
2,CUST_2,PROD_2,3,31.5,2025-07-23T02:00:00,completed
3,CUST_3,PROD_3,4,42.0,2025-07-23T03:00:00,completed
4,CUST_4,PROD_4,5,52.5,2025-07-23T04:00:00,completed
5,CUST_5,PROD_0,1,63.0,2025-07-23T05:00:00,completed
6,CUST_6,PROD_1,2,73.5,2025-07-23T06:00:00,completed
7,CUST_7,PROD_2,3,84.0,2025-07-23T07:00:00,failed
8,CUST_8,PROD_3,4,94.5,2025-07-23T08:00:00,completed
9,CUST_9,PROD_4,5,105.0,2025-07-23T09:00:00,completed
10,CUST_0,PROD_0,1,10.5,2025-07-23T10:00:00,completed
11,CUST_1,PROD_1,2,21.0,2025-07-23T11:00:00,completed
12,CUST_2,PROD_2,3,31.5,2025-07-23T12:00:00,completed
13,CUST_3,PROD_3,4,42.0,2025-07-23T13:00:00,completed
14,CUST_4,PROD_4,5,52.5,2025-07-23T14:00:00,failed
15,CUST_5,PROD_0,1,63.0,2025-07-23T15:00:00,completed
16,CUST_6,PROD_1,2,73.5,2025-07-23T16:00:00,completed
17,CUST_7,PROD_2,3,84.0,2025-07-23T17:00:00,completed
18,CUST_8,PROD_3,4,94.5,2025-07-23T18:00:00,completed
19,CUST_9,PROD_4,5,105.0,2025-07-23T19:00:00,completed
20,CUST_0,PROD_0,1,10.5,2025-07-23T20:00:00,completed
21,CUST_1,PROD_1,2,21.0,2025-07-23T21:00:00,failed
22,CUST_2,PROD_2,3,31.5,2025-07-23T22:00:00,completed
23,CUST_3,PROD_3,4,42.0,2025-07-23T23:00:00,completed
24,CUST_4,PROD_4,5,52.5,2025-07-24T00:00:00,completed
25,CUST_5,PROD_0,1,63.0,2025-07-24T01:00:00,completed
26,CUST_6,PROD_1,2,73.5,2025-07-24T02:00:00,completed
27,CUST_7,PROD_2,3,84.0,2025-07-24T03:00:00,completed
28,CUST_8,PROD_3,4,94.5,2025-07-24T04:00:00,failed
29,CUST_9,PROD_4,5,105.0,2025-07-24T05:00:00,completed
30,CUST_0,PROD_0,1,10.5,2025-07-24T06:00:00,completed
31,CUST_1,PROD_1,2,21.0,2025-07-24T07:00:00,completed
32,CUST_2,PROD_2,3,31.5,2025-07-24T08:00:00,completed
33,CUST_3,PROD_3,4,42.0,2025-07-24T09:00:00,completed
34,CUST_4,PROD_4,5,52.5,2025-07-24T10:00:00,completed
35,CUST_5,PROD_0,1,63.0,2025-07-24T11:00:00,failed
36,CUST_6,PROD_1,2,73.5,2025-07-24T12:00:00,completed
37,CUST_7,PROD_2,3,84.0,2025-07-24T13:00:00,completed
38,CUST_8,PROD_3,4,94.5,2025-07-24T14:00:00,completed
39,CUST_9,PROD_4,5,105.0,2025-07-24T15:00:00,completed
40,CUST_0,PROD_0,1,10.5,2025-07-24T16:00:00,completed
41,CUST_1,PROD_1,2,21.0,2025-07-24T17:00:00,completed
42,CUST_2,PROD_2,3,31.5,2025-07-24T18:00:00,failed
43,CUST_3,PROD_3,4,42.0,2025-07-24T19:00:00,completed
44,CUST_4,PROD_4,5,52.5,2025-07-24T20:00:00,completed
45,CUST_5,PROD_0,1,63.0,2025-07-24T21:00:00,completed
46,CUST_6,PROD_1,2,73.5,2025-07-24T22:00:00,completed
47,CUST_7,PROD_2,3,84.0,2025-07-24T23:00:00,completed
48,CUST_8,PROD_3,4,94.5,2025-07-25T00:00:00,completed
49,CUST_9,PROD_4,5,105.0,2025-07-25T01:00:00,failed
